kabkota,id_pasar,nm_pasar
bangkalankab,29,Pasar Senenan
bangkalankab,30,Pasar Ki Lemah Duwur
bangkalankab,31,Pasar Baru Bancaran
banyuwangikab,32,Pasar Banyuwangi
banyuwangikab,33,Pasar Rogojampi
banyuwangikab,34,Pasar Genteng
banyuwangikab,35,Pasar Jajag Gambiran
banyuwangikab,128,Pasar Blambangan-Kota
blitarkab,36,Pasar Sutojayan
blitarkab,37,Pasar Wlingi
bojonegorokab,38,Pasar Kota Bojonegoro
bojonegorokab,39,Pasar Banjarejo
bondowosokab,41,Pasar Bondowoso
bondowosokab,42,Pasar Maesan
bondowosokab,43,Pasar Wonosari
bondowosokab,44,Pasar Prajekan
gresikkab,45,Pasar Baru
gresikkab,46,Pasar Kota
gresikkab,123,Pasar Sidomoro
jemberkab,11,Pasar Tanjung
jemberkab,12,Pasar Kreongan
jemberkab,13,Pasar Kebonsari
jombangkab,47,Pasar Pon
jombangkab,134,Pasar Cukir
jombangkab,135,Pasar Ploso
kedirikab,50,Pasar Pamenang Kec. Pare
kedirikab,52,Pasar Gringging Kec. Grogol
kedirikab,133,Pasar Ngadiluwih
lamongankab,53,Pasar Sidoharjo
lamongankab,54,Pasar Babat
lamongankab,55,Pasar Blimbing
lamongankab,121,Pasar Mantup
lumajangkab,26,Pasar Baru
lumajangkab,27,Pasar Sukodono
lumajangkab,28,Pasar Pasirian
madiunkab,17,Pasar Dolopo
madiunkab,132,Pasar Pagotan
madiunkab,136,Pasar Dungus
madiunkab,139,Pasar Umum Caruban (Pasar Sayu
magetankab,56,Pasar Sayur I
magetankab,57,Pasar Kawedanan
magetankab,58,Pasar Maospati
malangkab,59,Pasar Lawang
malangkab,60,Pasar Singosari
malangkab,61,Pasar Karang Ploso
malangkab,126,Pasar Kepanjen
malangkab,131,Pasar Turen
mojokertokab,62,Pasar Gempol  Kerep
mojokertokab,63,Pasar Poh Jejer
mojokertokab,64,Pasar Kedung Maling
mojokertokab,120,Mojosari
nganjukkab,65,Pasar Wage Nganjuk
nganjukkab,66,Pasar Berbek
nganjukkab,67,Pasar Warujayeng
ngawikab,68,Pasar Besar
ngawikab,69,Pasar Paron
ngawikab,125,Pasar Beran
pacitankab,71,Pasar Arjowinangun
pacitankab,72,Pasar Arjosasri
pacitankab,73,Pasar Minulyo
pamekasankab,74,Pasar Kolpajung
pamekasankab,75,Pasar Waru
pasuruankab,77,Pasar Bangil
pasuruankab,78,Pasar Pandaan
pasuruankab,79,Pasar Sukorejo
ponorogokab,81,Pasar Sumoroto
ponorogokab,144,Pasar Legi
probolinggokab,83,Pasar Dringu
probolinggokab,84,Pasar Leces
probolinggokab,85,Pasar Kraksaan
sampangkab,86,Pasar Srimangunan
sampangkab,87,Pasar Rongtengah
sidoarjokab,89,Pasar Larangan
sidoarjokab,91,Pasar Krian
situbondokab,92,Pasar Mimbaan Baru
situbondokab,93,Pasar Ardirejo
situbondokab,94,Pasar Sumber Kolak
sumenepkab,23,Pasar Anom
sumenepkab,24,Pasar Bangkal
trenggalekkab,96,Pasar Basah
trenggalekkab,137,Pasar Subuh
tubankab,98,Pasar Baru Tuban
tubankab,99,Pasar Bangilan
tubankab,100,Pasar Jatirogo
tulungagungkab,101,Pasar Wage
tulungagungkab,102,Pasar Ngunut
tulungagungkab,103,Pasar Bandung
batukota,104,Pasar Besar Kota Batu
batukota,105,Pasar Gentengan
batukota,106,Pasar Songgoriti
batukota,138,Pasar Kecil/Krempyeng Pesanggr
blitarkota,108,Pasar Legi
blitarkota,109,Pasar Pon
kedirikota,14,Pasar Setono Betek
kedirikota,15,Pasar Bandar
kedirikota,16,Pasar Pahing
madiunkota,20,Pasar Besar
madiunkota,21,Pasar Seleko Baru
madiunkota,22,Pasar Srijaya
malangkota,6,Pasar Dinoyo
malangkota,7,Pasar Blimbing
malangkota,8,Pasar Tawangmangu
malangkota,9,Oro-Oro dowo
malangkota,10,Pasar Klojen
mojokertokota,110,Pasar Tanjung Anyar
mojokertokota,130,Prajuritkulon
pasuruankota,113,Pasar Besar Kota Pasuruan
pasuruankota,114,Pasar Kebonagung
probolinggokota,116,Pasar Wonoasih
probolinggokota,117,Pasar Baru
probolinggokota,118,Pasar Kronong
surabayakota,1,Tambahrejo
surabayakota,2,Wonokromo
surabayakota,3,Genteng
surabayakota,4,Pucang Anom
surabayakota,5,Keputran
